  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
  0.00   0.00   0.00   0.0    0.0    0.0   0.0    0.0    0.0 
 -0.39   0.17   9.25  -6.8   -3.4   76.8   0.0    0.0   -0.0 
 -0.38   0.12   9.21  -6.7   -3.4   77.9   0.0    0.0   -0.0 
 -0.40   0.14   9.17  -6.6   -3.2   79.3   0.0    0.0   -0.0 
 -0.41   0.16   9.20  -6.3   -3.1   80.5   0.0    0.0   -0.1 
 -0.36   0.15   9.09  -6.1   -2.9   81.6   0.0   -0.0   -0.1 
 -0.38   0.15   9.17  -5.7   -2.7   82.5   0.0   -0.0   -0.1 
 -0.40   0.17   9.20  -5.4   -2.4   83.6   0.0   -0.0   -0.1 
 -0.39   0.13   9.23  -5.0   -2.1   84.5   0.0   -0.0   -0.1 
 -0.40   0.15   9.25  -4.6   -1.6   85.4   0.0   -0.0   -0.1 
 -0.38   0.10   9.27  -4.3   -1.2   86.2   0.0   -0.0   -0.1 
 -0.39   0.12   9.23  -3.9   -0.7   86.8   0.0   -0.0   -0.2 
 -0.33   0.10   9.17  -3.4   -0.4   87.3   0.0   -0.0   -0.2 
 -0.35   0.12   9.13  -3.1    0.1   87.8   0.0    0.0   -0.2 
 -0.36   0.13   9.14  -2.5    0.6   88.0   0.0    0.0   -0.2 
 -0.39   0.11   9.18  -2.1    1.0   88.1   0.0    0.0   -0.2 
 -0.36   0.11   9.23  -2.0    1.3   88.1   0.0    0.0   -0.2 
 -0.36   0.11   9.21  -1.1    2.2   88.0   0.0    0.0   -0.3 
 -0.38   0.15   9.22  -0.7    2.6   87.9   0.0    0.0   -0.3 
 -0.37   0.11   9.18  -0.5    3.2   87.6   0.0    0.0   -0.3 
 -0.36   0.12   9.19  -0.3    3.5   87.3   0.0    0.0   -0.3 
 -0.34   0.12   9.12   0.1    3.9   86.9   0.0    0.0   -0.3 
 -0.34   0.11   9.10   0.3    4.2   86.5   0.0    0.0   -0.3 
 -0.33   0.15   9.15   0.4    4.6   85.8   0.0    0.0   -0.4 
 -0.34   0.14   9.15   0.5    4.6   85.1   0.0    0.0   -0.4 
 -0.36   0.11   9.30   0.8    4.8   84.5   0.0    0.0   -0.4 
 -0.35   0.11   9.19   0.7    4.9   83.5   0.0    0.0   -0.4 
 -0.37   0.18   9.20   0.5    4.9   82.4   0.0    0.0   -0.4 
 -0.36   0.13   9.19   0.6    5.0   81.2   0.0    0.0   -0.4 
 -0.36   0.16   9.16   0.4    5.1   80.3   0.0    0.0   -0.4 
